Year,Nationality,الجنسية,Sex,الجنس,Governorate,المحافظات,Population
2016,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,32911
2016,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,40468
2017,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,65793
2017,Bahraini,بحريني,Female,انثى,Northern,الشمالية,121137
2017,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,93741
2017,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,39613
2018,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,85653
2018,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,67027
2018,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,128859
2018,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,64926
2018,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,291584
2018,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,74352
2019,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,271999
2019,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,70677
2019,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,129411
2019,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,97786
2019,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,41177
2020,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,69141
2020,Bahraini,بحريني,Female,انثى,Northern,الشمالية,134858
2020,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,277556
2020,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,88866
2020,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,38828
2021,Bahraini,بحريني,Females,إناث,Capital,العاصمة,82543
2021,Bahraini,بحريني,Females,إناث,Muharraq,المحرق,67971
2021,Bahraini,بحريني,Females,إناث,Northern,الشمالية,140046
2021,Non-Bahraini,غير بحريني,Males,ذكور,Capital,العاصمة,276936
2021,Non-Bahraini,غير بحريني,Females,إناث,Capital,العاصمة,96426
2021,Non-Bahraini,غير بحريني,Females,إناث,Northern,الشمالية,39725
